20191030,浦东,杨东,东建路460号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701539/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,浦东,杨东,锦和路105号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701842/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,杨东,锦安东路241号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701818/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,浦东,杨东,锦安东路245号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701819/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,浦东,杨东,锦安东路235号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701815/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,杨东,锦安东路239号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970751701817/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,杨东,东绣路1397号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012541511348738/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,浦东,杨东,东城家园,72677元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012934/,2007年建成 ,板楼,1.15至1.8元/平米/月,上海陆家嘴双乐物业管理有限,上海五隆置业发展有限公司,5,138户
20191030,浦东,杨东,志豪公寓,72927元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010624/,1999年建成 ,板楼,1.2元/平米/月,志豪物业有限,上海志豪房地产开发有限公司,4,132户
20191030,浦东,杨东,杨东小区,58562元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012478/,1998年建成 ,板楼,1.09元/平米/月,上海爱家物业管理有限,上海爱家房地产有限公司,4,80户
20191030,浦东,杨东,中福公寓,53661元/m2,12套在售二手房,https://sh.lianjia.com/xiaoqu/5011000016473/,2002年建成 ,塔楼,1.5元/平米/月,上海陆家嘴物业管理有限,上海强升经济投资有限公司,2,336户
20191030,浦东,杨东,万源杰座,76245元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015009/,2004年建成 ,板楼,4.4元/平米/月,绿城,上海源鸿置业有限公司,7,316户
