,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
31,31,蒙特雷兹-哈勒尔,快船,18.90,7.90-13.10,60.1%,0.00-0.40,0%,3.20-5.10,62.5%,14,30.00
32,32,克里斯塔普斯-波尔津吉斯,独行侠,18.60,6.60-16.50,39.9%,2.20-6.40,35.1%,3.20-4.40,71.7%,12,32.00
33,32,多曼塔斯-萨博尼斯,步行者,18.60,7.40-15.20,48.9%,0.40-1.30,31.3%,3.30-4.00,83.3%,12,34.10
34,32,马库斯-莫里斯,尼克斯,18.60,5.80-14.10,40.9%,2.50-5.50,45.5%,4.50-5.40,84%,14,33.70
35,35,斯潘塞-丁威迪,篮网,18.50,5.80-13.90,41.7%,1.70-5.60,30.1%,5.20-6.30,82.9%,13,26.90
36,35,贾-莫兰特,灰熊,18.50,7.00-15.20,46%,0.90-2.20,41.4%,3.60-4.80,74.6%,13,27.80
37,35,克里斯-米德尔顿,雄鹿,18.50,6.50-13.90,46.8%,2.40-6.10,39.3%,3.10-3.50,88.6%,10,30.80
38,38,吉米-巴特勒,热火,18.40,5.80-12.80,45.2%,0.70-2.80,24%,6.20-7.60,82.4%,9,34.40
39,39,拉马库斯-阿尔德里奇,马刺,18.30,7.40-14.30,52%,0.50-1.60,31.8%,2.90-3.50,83.7%,14,32.40
40,39,德文特-格雷厄姆,黄蜂,18.30,5.80-14.10,41.1%,3.50-8.40,41.5%,3.20-4.10,78.9%,14,32.00
41,41,尼古拉-武切维奇,魔术,18.20,7.20-15.70,46.1%,1.10-3.50,32.6%,2.50-3.00,84.6%,13,32.30
42,41,凯文-乐福,骑士,18.20,5.30-12.00,44.4%,2.10-6.00,34.7%,5.40-6.20,87.8%,12,32.70
43,43,科林-塞克斯顿,骑士,17.90,6.80-15.70,43.6%,1.50-4.20,36.4%,2.70-3.50,77.8%,13,30.20
44,44,肯德里克-纳恩,热火,17.80,7.10-15.00,47.2%,2.30-6.10,38.4%,1.30-1.60,84.2%,12,30.80
45,44,卢克-肯纳德,活塞,17.80,5.80-12.90,45.2%,2.80-7.00,40.7%,3.30-3.80,87.8%,13,33.90
46,46,托拜厄斯-哈里斯,76人,17.60,7.10-14.30,49.5%,1.10-4.20,25.5%,2.40-3.00,79.5%,13,34.50
47,46,朱-霍勒迪,鹈鹕,17.60,6.80-16.50,40.9%,1.70-5.20,31.7%,2.40-3.10,78.4%,12,35.40
48,48,TJ-沃伦,步行者,17.50,7.30-15.30,47.7%,0.90-2.90,29.3%,2.10-2.60,80.6%,14,33.90
49,49,贾巴里-帕克,老鹰,17.20,7.10-13.60,52%,1.10-3.90,27.5%,2.00-2.80,70.3%,13,27.80
50,49,弗雷德-范弗利特,猛龙,17.20,5.40-14.10,38%,2.60-6.60,39.5%,3.80-4.20,90.7%,13,37.80
1,51,凯利-乌布雷,太阳,17.00,6.00-12.70,47.3%,1.30-4.20,31.5%,3.70-4.70,78.7%,13,30.60
2,52,埃文-富尼耶,魔术,16.80,5.90-12.10,48.7%,2.40-5.30,44.9%,2.60-3.20,82.9%,13,28.90
3,53,埃里克-帕斯卡尔,勇士,16.70,6.20-12.10,51.5%,0.60-2.50,25.7%,3.60-4.30,85%,14,30.60
4,54,朱利叶斯-兰德尔,尼克斯,16.50,6.40-14.20,44.7%,0.90-3.60,24%,2.90-4.70,62.1%,14,33.10
5,55,特里-罗齐尔,黄蜂,16.40,5.90-14.30,41.5%,2.20-6.10,36%,2.40-2.80,84.6%,14,31.80
