20191030,金山,石化,梅州大楼,暂无,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019648/,1992年建成 ,塔楼,0.8元/平米/月,暂无信息,暂无信息,1,126户
20191030,金山,石化,三岛龙州苑,22935元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013937/,2004年建成 ,板楼,0.75元/平米/月,暂无信息,暂无信息,67,1253户
20191030,金山,石化,石化三村,14155元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009037/,1976年建成 ,板楼,0.4元/平米/月,暂无信息,暂无信息,51,1025户
20191030,金山,石化,石化十一村,12654元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010380/,1983年建成 ,板楼,0.8元/平米/月,上海临南物业管理有限,无,71,1098户
20191030,金山,石化,德安大楼,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019256/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,180户
20191030,金山,石化,临潮二村,17080元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018655/,1991年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,181,959户
20191030,金山,石化,广厦大楼,14767元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000008634/,1994年建成 ,塔楼,暂无信息,暂无信息,暂无信息,1,199户
20191030,金山,石化,辰凯紫藤苑,18947元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000949/,2003年建成 ,板楼,0.7元/平米/月,暂无信息,暂无信息,11,123户
20191030,金山,石化,隆安大楼,18184元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019562/,1994年建成 ,塔楼,暂无信息,暂无信息,暂无信息,1,220户
20191030,金山,石化,园中苑,暂无,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005582/,2001年建成 ,板楼,0.4元/平米/月,暂无信息,暂无信息,34,143户
20191030,金山,石化,东门苑,45559元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000020/,2006年建成 ,板楼,0.6元/平米/月,上海紫泰物业管理有限,上海言青房产开发有限公司,28,341户
20191030,金山,石化,石化三村,14155元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009037/,1976年建成 ,板楼,0.4元/平米/月,暂无信息,暂无信息,51,1025户
20191030,金山,石化,石化十一村,12654元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010380/,1983年建成 ,板楼,0.8元/平米/月,上海临南物业管理有限,无,71,1098户
20191030,金山,石化,辰凯紫薇苑,22515元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005083/,2002年建成 ,板楼,0.8元/平米/月,上海辰凯物业管理有限,上海辰凯置业有限公司,109,1160户
20191030,金山,石化,石化四村,15525元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002926/,1977年建成 ,板楼,0.6元/平米/月,上海临南物业管理有限,暂无信息,77,1743户
20191030,金山,石化,石化一村,13272元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000512/,1975年建成 ,板楼,0.5元/平米/月,暂无信息,暂无信息,47,827户
20191030,金山,石化,梅州大楼,暂无,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019648/,1992年建成 ,塔楼,0.8元/平米/月,暂无信息,暂无信息,1,126户
20191030,金山,石化,三岛龙州苑,22935元/m2,11套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013937/,2004年建成 ,板楼,0.75元/平米/月,暂无信息,暂无信息,67,1253户
20191030,金山,石化,临海大楼,17617元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018946/,1988年建成 ,塔楼,0.5元/平米/月,暂无信息,暂无信息,1,120户
20191030,金山,石化,石化二村,14455元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001241/,1975年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,40,535户
20191030,金山,石化,桥英馨苑,18819元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001649/,2001年建成 ,板楼,0.85元/平米/月,暂无信息,暂无信息,26,298户
20191030,金山,石化,山龙新村,19159元/m2,2套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010402/,1998年建成 ,板楼,暂无信息,上海辰凯物业管理有限,上海金山嘴房地产开发有限公司,48,248户
20191030,金山,石化,东礁四村,17454元/m2,12套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018651/,1994年建成 ,板楼,0.75元/平米/月,暂无信息,暂无信息,55,936户
20191030,金山,石化,书香门第,24302元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015702/,2002年建成 ,板楼,0.7元/平米/月,上海辰凯物业管理有限,上海金山嘴房地产开发有限公司,54,791户
20191030,金山,石化,临潮一村,16388元/m2,14套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018667/,1989年建成 ,板楼,0.3元/平米/月,暂无信息,暂无信息,72,954户
20191030,金山,石化,梅州新村,16228元/m2,19套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000746/,1987年建成 ,板楼,0.8元/平米/月,无,暂无信息,136,2085户
20191030,金山,石化,临潮三村,17038元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018663/,1990年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,62,886户
20191030,金山,石化,东礁三村,17061元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018659/,1993年建成 ,板楼,0.75元/平米/月,暂无信息,暂无信息,45,810户
20191030,金山,石化,东礁二村,16687元/m2,15套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018674/,1994年建成 ,塔楼/板楼,0.5元/平米/月,暂无信息,暂无信息,31,811户
20191030,金山,石化,辰凯花苑,20934元/m2,17套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000747/,1997年建成 ,板楼,0.79元/平米/月,暂无信息,暂无信息,153,1843户
20191030,金山,石化,东礁一村,16766元/m2,28套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004944/,1992年建成 ,塔楼/板楼,0.5至0.8元/平米/月,上海宝房（集团）海滨物业服务有限,暂无信息,48,1381户
20191030,金山,石化,石化十二村,15157元/m2,5套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002561/,1982年建成 ,板楼,0.3元/平米/月,自主,暂无信息,174,2134户
20191030,金山,石化,山鑫阳光城,23851元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011736/,1999年建成 ,板楼,0.72元/平米/月,上海云南物业有限,上海山鑫置业有限公司,133,1557户
20191030,金山,石化,石化九村,15326元/m2,9套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003318/,1980年建成 ,板楼,0.4元/平米/月,上海临南物业管理有限,暂无信息,71,1506户
20191030,金山,石化,山鑫阳光城,23851元/m2,7套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011736/,1999年建成 ,板楼,0.72元/平米/月,上海云南物业有限,上海山鑫置业有限公司,133,1557户
