20191030,闵行,马桥,马桥镇西街13号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206817/,1995年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,10户
20191030,闵行,马桥,东新街14号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011790986260152/,1995年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,12户
20191030,闵行,马桥,马桥镇西街3号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319417/,1996年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,10户
20191030,闵行,马桥,富岩路17号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206777/,1994年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,18户
20191030,闵行,马桥,东新街19号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206801/,1994年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,10户
20191030,闵行,马桥,富岩路16号,31035元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206774/,1994年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,18户
20191030,闵行,马桥,东街13号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012288968372873/,1996年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,10户
20191030,闵行,马桥,星星村星星苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020022920407496/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,马桥,青杉路337号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026672928561/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,马桥,富岩路45号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012202228069025/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,8户
20191030,闵行,马桥,东新街12号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013697269116788/,1985年建成 ,板楼,0.5元/平米/月,暂无信息,上海南上海动拆迁置业有限公司,1,1户
20191030,闵行,马桥,新街15号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103304/,1986年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,马桥,裕隆花园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016815602282683/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,6,6户
20191030,闵行,马桥,东街17号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010797698527489/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,马桥,东街18号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012110867214671/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,闵行,马桥,富岩路4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319358/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,18户
20191030,闵行,马桥,曙光路148号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970782109810/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,马桥,敬南路2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370105/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,马桥,元和路181弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023338951500/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,闵行,马桥,元江路4805弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020021204397240/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,闵行,马桥,中街155弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019924/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,15户
20191030,闵行,马桥,中街149弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016385406676297/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,马桥,青年路192号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103117/,1993年建成 ,未知,暂无信息,暂无信息,暂无信息,1,8户
20191030,闵行,马桥,西街2号,24454元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000006292/,1996年建成 ,板楼,暂无信息,上海新上海商业城物业有限,上海南上海动拆迁置业有限公司,1,10户
20191030,闵行,马桥,富岩路6号,29874元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363955879/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,闵行,马桥,西街17号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010314782618381/,1995年建成 ,板楼,暂无信息,暂无信息,上海南上海动拆迁置业有限公司,1,12户
