20191030,徐汇,华泾,华展路49-51号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249452/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华泾,华展路95号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249458/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华泾,建华路151号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970443682663/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华泾,龙吴路2050号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292419/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华泾,九润商务中心,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011539/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,66户
20191030,徐汇,华泾,天润苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004751/,1997年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,5,38户
20191030,徐汇,华泾,华发路272号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350693/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,63户
20191030,徐汇,华泾,东湾度假村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000015645/,1994年建成 ,板楼,暂无信息,上海东渡物业管理有限责任,东渡房地产开发有限公司,16,60户
20191030,徐汇,华泾,龙瑞路81号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292371/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华泾,龙瑞路65.55号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020020703142843/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华泾,龙瑞路30号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292358/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华泾,龙瑞路32号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292359/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华泾,滨江108(公寓),75492元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020111/,2012年建成 ,板楼,4.5元/平米/月,上海新东湖物业管理有限,上海盈旺房地产开发有限公司,6,35户
20191030,徐汇,华泾,龙吴路1721、1723、1725号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024445699564/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华泾,龙腾大道485号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292395/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,徐汇,华泾,龙瑞路128弄32号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970721292357/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,徐汇,华泾,华发路291号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350698/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华泾,龙腾大道467号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020027001242000/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,徐汇,华泾,滨江108(别墅),94340元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018640/,2012年建成 ,板楼,4.5元/平米/月,上海东湖物业有限,上海盈旺房地产开发有限公司,74,74户
20191030,徐汇,华泾,臻园(别墅)(徐汇),80014元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000002875/,2007年建成 ,板楼,1.5元/平米/月,上海建玮物业/戴德梁行物业顾问,上海华臻置业有限公司,163,163户
20191030,徐汇,华泾,华泾四村,44489元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009191/,1995年建成 ,板楼,0.45元/平米/月,华润,华润置地,81,1008户
20191030,徐汇,华泾,漓江山水花园,88633元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5012225019129921/,2003年建成 ,板楼,3.8至6元/平米/月,第一太平戴维斯物业管理有限,上海中房景阳房产有限公司,292,394户
