20191030,奉贤,奉贤金汇,齐贤四美小区,24008元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370437/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,12户
20191030,奉贤,奉贤金汇,白沙通苑,24042元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206852/,2013年建成 ,板楼,暂无信息,暂无信息,暂无信息,19,637户
20191030,奉贤,奉贤金汇,白沙恒苑,24825元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206853/,2013年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,20,706户
20191030,奉贤,奉贤金汇,白沙西苑,24549元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206854/,2013年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,20,648户
20191030,奉贤,奉贤金汇,逸贤雅苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020029208397560/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,21,1638户
20191030,奉贤,奉贤金汇,百曲雅苑,25500元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103862/,2012年建成 ,板楼,1.2元/平米/月,暂无信息,暂无信息,30,975户
20191030,奉贤,奉贤金汇,申亚书香水岸,24606元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019975/,暂无信息 ,板楼,1.95元/平米/月,上海海顿物业管理有限,上海亚绿实业投资有限公司,15,264户
20191030,奉贤,奉贤金汇,绿色家园泰馨苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003521/,1999年建成 ,板楼,2.3元/平米/月,上海绿虹物业管理有限,上海伟立房地产开发有限公司,121,356户
20191030,奉贤,奉贤金汇,绿色家园,25871元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5014919250775186/,2002年建成 ,板楼,1元/平米/月,暂无信息,暂无信息,69,466户
20191030,奉贤,奉贤金汇,泰中新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057425/,2001年建成 ,板楼,暂无信息,暂无信息,暂无信息,4,31户
20191030,奉贤,奉贤金汇,禹洲雍贤府,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020022059294562/,暂无信息 ,板楼,3.5元/平米/月,禹洲物业服务有限公司上海分,上海泽翔房地产开发有限公司,148,1845户
20191030,奉贤,奉贤金汇,南行贤苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206896/,2012年建成 ,板楼,1.35元/平米/月,暂无信息,暂无信息,28,1276户
20191030,奉贤,奉贤金汇,金碧苑,21900元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369896/,2014年建成 ,板楼,暂无信息,暂无信息,暂无信息,29,1620户
20191030,奉贤,奉贤金汇,白沙东苑,24243元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005287/,2012年建成 ,板楼,1.35元/平米/月,城大,上海奉佳置业有限公司,37,1184户
20191030,奉贤,奉贤金汇,灏景湾,43040元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016323812797842/,暂无信息 ,板楼,暂无信息,碧桂园,顺碧房地产开发有限公司,20,344户
