20191030,奉贤,奉城,兰博路2819号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970492703034/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,农商路142号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675942196/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,协新路42号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736496685/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,洪中路123号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169641/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,奉联路358号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926283/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,城大路189号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015842687332184/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,川南奉公路9718号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941511/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,唐城街35号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010436034440533/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,5户
20191030,奉贤,奉城,唐城街路21弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956185/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,镇南新村(奉贤),暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012585290969433/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,3,5户
20191030,奉贤,奉城,大庆西路117号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389398891424/,1993年建成 ,未知,暂无信息,暂无信息,暂无信息,1,10户
20191030,奉贤,奉城,奉馨园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003562/,2008年建成 ,板楼,0.4元/平米/月,万科企业股份有限,万科集团,15,34户
20191030,奉贤,奉城,洪中路9号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016612386442506/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,洪中路138号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000005363/,2003年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,上海箱包城,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013513/,2007年建成 ,板楼,暂无信息,暂无信息,暂无信息,6,9户
20191030,奉贤,奉城,洪庙社区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956165/,1996年建成 ,板楼,暂无信息,无,暂无信息,3,3户
20191030,奉贤,奉城,嘉安公寓,15742元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103344/,2004年建成 ,板楼,暂无信息,暂无信息,暂无信息,2,28户
20191030,奉贤,奉城,灯民小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206615/,2012年建成 ,板楼,暂无信息,暂无信息,暂无信息,9,31户
20191030,奉贤,奉城,奉城东街341号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020028357586401/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,瓦洪公路3312号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020023926427285/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,褚聚北路2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103568/,1985年建成 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,奉贤,奉城,唐城街11号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635435715319/,1997年建成 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,奉贤,奉城,南奉公路999弄40号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926158/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,奉贤,奉城,紫苑街248号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024018797944/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,奉贤,奉城,褚聚街4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018901/,1994年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,奉贤,奉城,华盛佳园,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102206858/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,3,13户
20191030,奉贤,奉城,镇海新村,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025403452400/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,11户
20191030,奉贤,奉城,奉旺路689弄,11731元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337562/,2013年建成 ,板楼,暂无信息,暂无信息,暂无信息,26,260户
20191030,奉贤,奉城,运河新村(洪庙),13275元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5018043683506320/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,7,55户
20191030,奉贤,奉城,水闸路14弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020020798569759/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,14户
20191030,奉贤,奉城,安全小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010424/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,7,8户
20191030,奉贤,奉城,洪南路214弄,13684元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019027/,1996年建成 ,板楼,暂无信息,暂无信息,暂无信息,36,459户
20191030,奉贤,奉城,中建公元壹号(商业类),15299元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013988684640654/,暂无信息 ,板楼,2.2元/平米/月,上海中建东孚投资发展有限,上海楷诚置业有限公司,2,132户
20191030,奉贤,奉城,唐城街45号,11606元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635237248822/,1998年建成 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,奉贤,奉城,银欣花苑(奉贤),13090元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011261/,1997年建成 ,板楼,1.1元/平米/月,自主,天洪发展有限公司,36,369户
20191030,奉贤,奉城,佳源名人公馆,21781元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011063661255/,2015年建成 ,板楼,2元/平米/月,浙江佳源物业管理有限,上海定源房地产有限公司,13,346户
20191030,奉贤,奉城,奉城东街23弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102205815/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,16户
