20191030,嘉定,嘉定老城,清河路173号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363955834/,1981年建成 ,板楼,暂无信息,暂无信息,利海集团,1,42户
20191030,嘉定,嘉定老城,嘉定新城,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004384/,2000年建成 ,板楼,暂无信息,暂无信息,暂无信息,13,2388户
20191030,嘉定,嘉定老城,城中路205号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210188/,1984年建成 ,板楼,暂无信息,海恒,海城中海润泽置业有限公司,1,140户
20191030,嘉定,嘉定老城,清河路117弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210024/,1975年建成 ,板楼,暂无信息,暂无信息,德丰地产投资中博地产德丰地产投资中博地产,4,120户
20191030,嘉定,嘉定老城,张马路26号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103935/,1976年建成 ,板楼,暂无信息,海佳大厦,海城中海润泽置业有限公司,1,24户
20191030,嘉定,嘉定老城,嘉创国际大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011146/,2010年建成 ,板楼,1.8元/平米/月,永乐物业，仙霞,上海嘉创置业有限公司,1,130户
20191030,嘉定,嘉定老城,沪宜公路3021号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5017227428956668/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,嘉定,嘉定老城,城中路33号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941425/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,东大街170号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370474/,1978年建成 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,城中路80号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389545929985/,2002年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,10户
20191030,嘉定,嘉定老城,清河路25号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737373/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,城中街67号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941418/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,叶城路535号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020024827566027/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,嘉定,嘉定老城,塔城路311号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020030920319490/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,福海路128号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026209286666/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,博乐路190号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584454068/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,福海路375-377号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926326/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,嘉定,嘉定老城,塔城路271号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970523373638/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,塔城路706号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970523373644/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,城中路417号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970675941426/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,嘉定,嘉定老城,博乐路166号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584454067/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
