20191030,宝山,大场镇,南大路168-3号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025661401107/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,大场镇,洛场路103号,40847元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369749/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,宝山,大场镇,洛场路105号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389495337867/,1997年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,宝山,大场镇,南大路106弄,34101元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019296/,1990年建成 ,板楼,0.95元/平米/月,暂无信息,暂无信息,4,96户
20191030,宝山,大场镇,沪太路3633号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350448/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,25户
20191030,宝山,大场镇,东方国贸新城,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020516/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,26户
20191030,宝山,大场镇,绿地创新产业中心,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057486/,2016年建成 ,板楼,10元/平米/月,暂无信息,暂无信息,27,28户
20191030,宝山,大场镇,南大路168号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970475926047/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,大场镇,南大路12弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956123/,1975年建成 ,板楼,暂无信息,上海乾溪物业管理有限,上海纺织置业有限公司浦西分公司,5,124户
20191030,宝山,大场镇,南大路118弄,37138元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000007989/,1995年建成 ,板楼,0.7元/平米/月,江苏南大物业管理有限责任,暂无信息,12,148户
20191030,宝山,大场镇,清水蓝湾,39559元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000012547/,1995年建成 ,板楼,1元/平米/月,上海乾强物业管理有限,上海为中实业有限公司,10,246户
20191030,宝山,大场镇,上海朗悦酒店公寓,16502元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000003370/,2007年建成 ,塔楼,暂无信息,暂无信息,云南大立成投资有限公司,1,201户
20191030,宝山,大场镇,沪太路4201弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018927/,1960年建成 ,板楼,0.18元/平米/月,自主,暂无信息,19,186户
20191030,宝山,大场镇,绿地即客LOFT,47276元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/508435652111489/,2008年建成 ,板楼,1.2至3元/平米/月,绿地集团,上海绿地宝颐置业有限公司,66,130户
20191030,宝山,大场镇,南大路8弄,38000元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018847/,1994年建成 ,板楼,暂无信息,上海乾溪物业管理有限,暂无信息,11,122户
20191030,宝山,大场镇,四季宜景园,52886元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010408/,2006年建成 ,板楼,0.8元/平米/月,暂无信息,暂无信息,11,128户
20191030,宝山,大场镇,美好家小区,52183元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014709/,1999年建成 ,板楼,0.85元/平米/月,上海宝房物业服务,海生物业,42,468户
20191030,宝山,大场镇,南大路14弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010771466825891/,1979年建成 ,板楼,暂无信息,上海乾溪物业管理有限,南城集团开发有限公司,6,97户
20191030,宝山,大场镇,洛场路250弄,38530元/m2,1套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020336/,1994年建成 ,板楼,0.45元/平米/月,上海乾溪物业管理有限,上海乾溪置业总公司,6,108户
20191030,宝山,大场镇,洛场路300弄,41152元/m2,4套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020337/,1994年建成 ,板楼,0.8元/平米/月,上海乾溪物业管理有限,上海建乾房地产开发有限公司,25,300户
20191030,宝山,大场镇,联建新村(宝山),38889元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014051/,1983年建成 ,板楼,1元/平米/月,上海宝房(集团)通河物业管理有限,华东纺织工学院(今东华大学)、市医药设计院等单位,43,842户
20191030,宝山,大场镇,君邑地中海(公寓),51935元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004085/,2011年建成 ,板楼,2元/平米/月,上海冠好佳物业管理服务有限,上海裕田房产有限公司,6,272户
20191030,宝山,大场镇,聚丰福邸,51362元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000001694/,2014年建成 ,板楼,2.03元/平米/月,上海豪斯物业管理,上海祁连房地产开发总公司,37,388户
20191030,宝山,大场镇,君邑地中海(别墅),45402元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000009832/,2011年建成 ,板楼,2元/平米/月,上海冠好佳物业管理服务有限,上海裕田房产有限公司,60,60户
