20191030,宝山,罗店,罗真路188弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103394/,2016年建成 ,板楼,暂无信息,暂无信息,暂无信息,18,1264户
20191030,宝山,罗店,美秀路558弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103726/,暂无信息 ,塔楼/板楼,暂无信息,暂无信息,暂无信息,25,1552户
20191030,宝山,罗店,新街10号房1号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047320/,1986年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,宝山,罗店,新街4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635237248763/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,宝山,罗店,市一路206弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635237248701/,1999年建成 ,板楼,暂无信息,暂无信息,暂无信息,3,30户
20191030,宝山,罗店,沪太路6497号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350483/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,宝山,罗店,塘西街61号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970523373901/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,罗芬路689弄29号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015780908381022/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,塘西街40号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970523373899/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,罗新路566号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453246/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,月罗公路2569号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737030/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,沪太路6525弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369922/,1998年建成 ,板楼,暂无信息,暂无信息,暂无信息,19,31户
20191030,宝山,罗店,年吉路220弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506369550/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,11,544户
20191030,宝山,罗店,祁北东路176号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020026689731945/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,罗太路328号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453227/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,塘东街4号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015009050299327/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,16户
20191030,宝山,罗店,佳欣苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000638/,2015年建成 ,板楼,0.65元/平米/月,暂无信息,上海高东置业有限公司,19,1320户
20191030,宝山,罗店,市二路70弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956178/,1995年建成 ,板楼,暂无信息,无,暂无信息,2,20户
20191030,宝山,罗店,罗店塘东街2号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010908136909828/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,20户
20191030,宝山,罗店,美平路999弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363955998/,2014年建成 ,未知,暂无信息,暂无信息,暂无信息,16,1360户
20191030,宝山,罗店,市一路160号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020540/,1990年建成 ,板楼,0.5元/平米/月,上海罗店物业管理有限,上海金罗店开发有限公司,1,15户
20191030,宝山,罗店,罗芬路1320号9,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5013196995080640/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,东西巷街132号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/50000000000398/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,美罗家园年吉苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020038983416547/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,30,1620户
20191030,宝山,罗店,美罗家园雅苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103127/,暂无信息 ,塔楼/板楼,暂无信息,暂无信息,暂无信息,10,612户
20191030,宝山,罗店,四方花苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000010017/,2001年建成 ,板楼,1.6元/平米/月,上海俊杰物业管理有限,上海俊杰实业有限公司,11,38户
20191030,宝山,罗店,保翔苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102210268/,2014年建成 ,板楼,暂无信息,暂无信息,暂无信息,24,928户
20191030,宝山,罗店,罗芬路689弄29号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5015780908381022/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,罗芬路1320号-15,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5017682271865594/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,罗真路188弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103394/,2016年建成 ,板楼,暂无信息,暂无信息,暂无信息,18,1264户
20191030,宝山,罗店,美秀路558弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103726/,暂无信息 ,塔楼/板楼,暂无信息,暂无信息,暂无信息,25,1552户
20191030,宝山,罗店,新街10号房1号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389543047320/,1986年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,宝山,罗店,塘西街61号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970523373901/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,罗太路328号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453227/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,塘西街40号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970523373899/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,罗新路566号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453246/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,美艾路228-230号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453670/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,罗芬路1088号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453196/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,宝山,罗店,市一路158号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509977363956180/,1990年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,15户
20191030,宝山,罗店,罗太路436号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453228/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
