20191030,松江,泗泾,三湘商业广场,30233元/m2,6套在售二手房,https://sh.lianjia.com/xiaoqu/5011000019675/,暂无信息 ,塔楼/板楼,2元/平米/月,暂无信息,暂无信息,1,247户
20191030,松江,泗泾,金港花园(别墅),39751元/m2,8套在售二手房,https://sh.lianjia.com/xiaoqu/5011000004042/,2005年建成 ,板楼,1.5元/平米/月,上海慎业物业管理有限,上海金厦房地产开发有限公司,300,300户
20191030,松江,泗泾,中海锦园,33952元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011860415361789/,2015年建成 ,板楼,2.8至3元/平米/月,中海物业管理(上海)有限,上海中海海富房地产有限公司 ,141,806户
20191030,松江,泗泾,润和欣苑,34836元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000013416/,2011年建成 ,板楼,1.6元/平米/月,盛业物业管理有限,上海林立房地产开发有限公司,6,219户
20191030,松江,泗泾,杨家弄90号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016049346219927/,2003年建成 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,松江,泗泾,绿波景园,31457元/m2,13套在售二手房,https://sh.lianjia.com/xiaoqu/5011000014589/,2003年建成 ,板楼,1.4元/平米/月,上海泗房物业发展有限,上海荣宇房地产开发有限公司,63,1035户
20191030,松江,泗泾,保利十二橡树庄园,34985元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000017900/,2006年建成 ,板楼,3.44元/平米/月,保利物业管理有限,上海保利房地产发展有限公司,294,294户
20191030,松江,泗泾,绿地云天坊,36688元/m2,24套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018776/,暂无信息 ,塔楼/板楼,暂无信息,深圳市彩生活物业管理有限公司上海分,上海绿地云峰房地产开发有限公司,6,1202户
20191030,松江,泗泾,鼓浪路291弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011102207086/,2008年建成 ,板楼,1.2元/平米/月,上海泗房物业发展有限,新城房产有限公司,1,12户
20191030,松江,泗泾,钰丰商都,25719元/m2,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010949180272748/,暂无信息 ,塔楼/板楼,暂无信息,上海孜诚置业有限,上海龙彬置业有限公司,78,2227户
20191030,松江,泗泾,三湘青年,28371元/m2,3套在售二手房,https://sh.lianjia.com/xiaoqu/5011000011172/,暂无信息 ,塔楼,4元/平米/月,暂无信息,暂无信息,1,209户
20191030,松江,泗泾,金地自在城(三期),39065元/m2,17套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018693/,2016年建成 ,未知,暂无信息,金地,上海仲骏房地产开发有限公司,12,12户
20191030,松江,泗泾,融创壹号公馆,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020025179998748/,暂无信息 ,板楼,暂无信息,融创物业服务集团有限,暂无信息,31,894户
20191030,松江,泗泾,洞北小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057445/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,4,15户
20191030,松江,泗泾,开江东路224号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5010795302530856/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,30户
20191030,松江,泗泾,南村小区,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000020105/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,松江,泗泾,泗滨路666弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000000786/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,20,1392户
20191030,松江,泗泾,横港路641、643号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169271/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,横港路100号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169248/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,新家园路251弄6号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862793/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,文化路21号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103732/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,6户
20191030,松江,泗泾,西安路45号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020030880462186/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,安乐街105号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370516/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,25户
20191030,松江,泗泾,开江中路256号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103645/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,12户
20191030,松江,泗泾,杨家弄84号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016635237248809/,2003年建成 ,未知,暂无信息,暂无信息,暂无信息,1,3户
20191030,松江,泗泾,开江东路100号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016612386442441/,1984年建成 ,板楼,暂无信息,暂无信息,暂无信息,1,16户
20191030,松江,泗泾,鼓浪路510号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146383/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,鼓浪路542号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146385/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,4户
20191030,松江,泗泾,沪松公路2939号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350401/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,鼓浪路816号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970782110065/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,开江西路714-716号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970599658375/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,鼓浪路128号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146378/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,鼓浪路733号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146389/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,泗宝路106号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645270958/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,泗凤路127、129号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645270971/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,泗砖路1弄93号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645270986/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,泗砖路1弄71号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645270985/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,松江,泗泾,泗砖路1弄319号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970645270983/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,沪松公路2791号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970706350396/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,开江中路329号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057831/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,1,1户
20191030,松江,泗泾,塘和家园·齐康苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389506370060/,2013年建成 ,平房,暂无信息,暂无信息,暂无信息,9,856户
20191030,松江,泗泾,泗泾新苑,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5016389501103409/,暂无信息 ,板楼,暂无信息,暂无信息,暂无信息,22,1059户
