20191030,黄浦,人民广场,新昌路354号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736496830/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,新昌路455弄15号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970736496833/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,人民大道9号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970660737624/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,黄陂北路1-3号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970569249671/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,5户
20191030,黄浦,人民广场,威海路199号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970614862168/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,新闸路249号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066423/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,江阴路166弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540319567/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,黄浦,人民广场,山海关路124-126号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970538840472/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,西藏中路525号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508170061/,2011年建成 ,塔板结合,1.8元/平米/月,暂无信息,暂无信息,1,7户
20191030,黄浦,人民广场,市政大厦,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5011000018597/,2004年建成 ,未知,暂无信息,暂无信息,暂无信息,1,39户
20191030,黄浦,人民广场,北京西路300-360号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/509821540057532/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,8,9户
20191030,黄浦,人民广场,武胜路221号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970508169827/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,新桥路668号672号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066225/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,重庆北路188号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970691146526/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,黄浦,人民广场,北京西路272号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453896/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,北京西路321-323号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453899/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,2,2户
20191030,黄浦,人民广场,北京西路126号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970584453878/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,2户
20191030,黄浦,人民广场,新桥路638号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066223/,暂无信息 ,未知,暂无信息,暂无信息,暂无信息,1,1户
20191030,黄浦,人民广场,成都北路762弄,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5020030274067226/,1928年建成 ,板楼,0.8元/平米/月,无物业管理服务,上海南上海动拆迁置业有限公司,1,2户
20191030,黄浦,人民广场,新闸路403-405号,暂无,0套在售二手房,https://sh.lianjia.com/xiaoqu/5012970630066428/,2006年建成 ,塔板结合,暂无信息,暂无信息,暂无信息,1,2户
